,SAW,WP,without_thres,thres_ref_phi23,thres_ref_phi12,thres_ref_phi13
Beijing,4,1,2,1,1,5
Tianjin,26,23,29,10,35,39
Shijiazhuang,37,28,33,13,30,38
Qinhuangdao,6,14,27,8,21,31
Baoding,39,39,36,19,33,36
Taiyuan,40,40,40,28,39,40
Hohhot,28,24,13,5,9,24
Shenyang,24,22,31,17,34,37
Dalian,14,9,9,4,11,25
Changchun,25,27,28,23,33,35
Harbin,17,20,18,14,27,30
Shanghai,20,33,32,15,26,29
Nanjing,31,35,34,25,31,32
Suzhou,18,26,25,21,28,28
Zhenjiang,30,30,35,34,37,34
Hangzhou,7,6,12,9,12,19
Ningbo,12,21,15,16,17,23
Wenzhou,9,11,17,11,14,20
Hefei,34,17,21,20,23,26
Fuzhou,5,4,4,6,6,11
Xiamen,8,3,3,3,3,6
Nanchang,23,16,19,26,20,22
Jinan,15,18,14,24,19,21
Qingdao,11,7,6,22,16,14
Zhengzhou,27,32,22,32,22,15
Wuhan,33,19,26,33,24,16
Changsha,16,13,20,29,15,13
Guangzhou,13,5,11,7,4,4
Shenzhen,1,29,1,2,2,1
Nanning,21,25,30,36,29,18
Guilin,38,37,39,39,38,27
Haikou,3,8,7,18,10,10
Chongqing,32,31,38,40,40,33
Chengdu,2,2,8,12,5,3
Guiyang,10,12,10,31,13,8
Zunyi,36,36,37,38,36,17
Kunming,29,38,5,30,8,7
Xian,22,15,24,37,25,12
Lanzhou,35,34,23,35,18,9
Urumqi,19,10,16,27,7,2
