,SAW,WP,equal_threshold_aver,indiff_threshold03_aver1,indiff_threshold06_aver1,pref_threshold03_aver,pref_threshold06_aver
Beijing,4,1,1.181818182,1.583333333,1,1.818181818,1
Tianjin,26,23,32.72727273,22.77651515,15.29545455,37.81818182,25.81818182
Shijiazhuang,37,28,30.27272727,22.4280303,16.86363636,34.09090909,21.54545455
Qinhuangdao,6,14,21.45454545,16.94318182,10.36363636,27.81818182,16.36363636
Baoding,39,39,32.63636364,24.84659091,22.06818182,31.45454545,27.09090909
Taiyuan,40,40,39.54545455,30.65151515,28.45454545,39.36363636,35
Hohhot,28,24,13.27272727,9.973484848,5.590909091,16.90909091,7.454545455
Shenyang,24,22,32.45454545,25.49621212,21.65909091,35.81818182,28.18181818
Dalian,14,9,7.272727273,10.5,5.409090909,13.27272727,5.272727273
Changchun,25,27,33.45454545,26.06060606,24.72727273,33.90909091,30
Harbin,17,20,24.54545455,19.90530303,16.04545455,28.63636364,21.36363636
Shanghai,20,33,27.09090909,21.56818182,16.52272727,27.63636364,21.81818182
Nanjing,31,35,32.09090909,27.85984848,27.04545455,32.09090909,30.90909091
Suzhou,18,26,31.72727273,24.47727273,22.43181818,31.90909091,31.63636364
Zhenjiang,30,30,37.36363636,33.85606061,33.63636364,36.90909091,37
Hangzhou,7,6,11.63636364,12.31439394,9.545454545,14.54545455,10.36363636
Ningbo,12,21,17.72727273,17.77272727,16,23.54545455,17.54545455
Wenzhou,9,11,16.18181818,14.01136364,11.95454545,18.81818182,13.90909091
Hefei,34,17,19,22.72348485,22.81818182,23.45454545,17.54545455
Fuzhou,5,4,4.227272727,6.909090909,6.090909091,6.181818182,4
Xiamen,8,3,3.136363636,3.518939394,3.227272727,4.181818182,3
Nanchang,23,16,21.36363636,23.9469697,24.68181818,21.81818182,22.63636364
Jinan,15,18,20,22.875,23.40909091,19.90909091,22.45454545
Qingdao,11,7,9.545454545,18.54924242,20.95454545,12.54545455,12.90909091
Zhengzhou,27,32,20.09090909,24.90530303,29.5,18.09090909,23.54545455
Wuhan,33,19,25.09090909,27.05681818,30.65909091,19.63636364,26.81818182
Changsha,16,13,15.63636364,20.92424242,23.88636364,12.27272727,18
Guangzhou,13,5,6,7.776515152,7.863636364,3.818181818,5.909090909
Shenzhen,1,29,1.818181818,1.856060606,2.272727273,1.636363636,2.272727273
Nanning,21,25,28.27272727,29.96212121,34.47727273,25.54545455,34.27272727
Guilin,38,37,37.09090909,35.85227273,38.63636364,30.45454545,38.63636364
Haikou,3,8,10.90909091,16.98106061,18.79545455,11.90909091,16.27272727
Chongqing,32,31,39.27272727,39.0625,40,38.45454545,40
Chengdu,2,2,7.090909091,10.85606061,11.95454545,6.818181818,8.454545455
Guiyang,10,12,11.81818182,20.99242424,26.34090909,9.045454545,17.63636364
Zunyi,36,36,33.81818182,32.93560606,37.90909091,25,36.63636364
Kunming,29,38,8.272727273,19.02272727,23.5,6.454545455,12.45454545
Xian,22,15,22,27.17045455,35.09090909,15.54545455,30.18181818
Lanzhou,35,34,23.27272727,24.87121212,31.54545455,14.63636364,29.36363636
Urumqi,19,10,9.636363636,18.22727273,21.77272727,6.227272727,14.72727273
