City,Beijing,Tianjin,Shijiazhuang,Qinhuangdao,Baoding,Taiyuan,Hohhot,Shenyang,Dalian,Changchun,Harbin,Shanghai,Nanjing,Suzhou,Zhenjiang,Hangzhou,Ningbo,Wenzhou,Hefei,Fuzhou,Xiamen,Nanchang,Jinan,Qingdao,Zhengzhou,Wuhan,Changsha,Guangzhou,Shenzhen,Nanning,Guilin,Haikou,Chongqing,Chengdu,Guiyang,Zunyi,Kunming,Xi’an,Lanzhou,Urumqi,RowSum,Rank
Beijing,0.0,0.73125,0.83125,0.6875,0.70625,0.8,0.55625,0.7375,0.68125,0.65,0.7,0.725,0.74375,0.74375,0.74375,0.61875,0.65,0.675,0.7875,0.60625,0.45,0.66875,0.70625,0.6375,0.7375,0.73125,0.6125,0.65625,0.475,0.73125,0.7625,0.6125,0.73125,0.50625,0.7,0.825,0.65,0.65,0.66875,0.49375,26.38125,1.0
Tianjin,0.26875000000000004,0.0,0.60625,0.51875,0.6187499999999999,0.6625,0.375,0.5125,0.3,0.55625,0.42500000000000004,0.56875,0.45625,0.54375,0.6375,0.32499999999999996,0.44375,0.38125,0.4125,0.31875,0.25625,0.46249999999999997,0.44375,0.2875,0.5,0.45625,0.3125,0.34375,0.2875,0.475,0.54375,0.5,0.6812499999999999,0.35625,0.375,0.55625,0.35624999999999996,0.4125,0.5,0.25625,17.29375,29.0
Shijiazhuang,0.16874999999999996,0.39375000000000004,0.0,0.45625,0.6125,0.5625,0.3125,0.4625,0.36875,0.49374999999999997,0.3375,0.46875,0.475,0.5375,0.625,0.2875,0.4375,0.4,0.3625,0.25,0.30000000000000004,0.41875,0.34375,0.275,0.39375,0.35624999999999996,0.30624999999999997,0.3625,0.33125,0.5,0.5687500000000001,0.4375,0.65,0.35624999999999996,0.28125,0.5,0.40625,0.30625,0.4625,0.30625,15.875,34.0
Qinhuangdao,0.3125,0.48124999999999996,0.54375,0.0,0.51875,0.6187500000000001,0.45625,0.4625,0.3375,0.46249999999999997,0.4875,0.38125,0.53125,0.5625,0.6,0.43125,0.5,0.36875,0.43125,0.4,0.3375,0.475,0.4625,0.4,0.425,0.51875,0.4625,0.425,0.425,0.4625,0.60625,0.35,0.7375,0.45625,0.3125,0.5625,0.5,0.48750000000000004,0.4625,0.4875,18.24375,24.0
Baoding,0.29374999999999996,0.3812500000000001,0.38749999999999996,0.48124999999999996,0.0,0.575,0.35,0.38125,0.29375,0.375,0.375,0.3375,0.48125,0.48125,0.54375,0.35,0.5,0.34375,0.31875,0.325,0.19375,0.35,0.35,0.29375,0.36875,0.4,0.36875,0.40625,0.1625,0.475,0.475,0.29375,0.50625,0.36250000000000004,0.31875,0.46875,0.44375,0.35625,0.46875,0.46875,15.10625,35.0
Taiyuan,0.19999999999999996,0.3375,0.4375,0.38124999999999987,0.42500000000000004,0.0,0.33125,0.3375,0.25625,0.30625,0.26875,0.4125,0.32499999999999996,0.40625,0.46875,0.28125,0.40625,0.275,0.3125,0.1875,0.275,0.29375,0.21875,0.1625,0.39375,0.3,0.26875000000000004,0.20625000000000002,0.24375,0.35625,0.35624999999999996,0.34375,0.49375,0.3,0.21875,0.40625,0.34375,0.33125,0.36875,0.3,12.5375,40.0
Hohhot,0.44375,0.625,0.6875,0.54375,0.65,0.66875,0.0,0.625,0.38125,0.61875,0.64375,0.65625,0.6375,0.575,0.6000000000000001,0.56875,0.55625,0.58125,0.5562499999999999,0.4125,0.31875,0.55625,0.625,0.5062500000000001,0.5249999999999999,0.6125,0.64375,0.425,0.33749999999999997,0.53125,0.69375,0.475,0.61875,0.41875,0.46875,0.61875,0.46875,0.53125,0.58125,0.58125,21.56875,14.0
Shenyang,0.26249999999999996,0.48750000000000004,0.5375,0.5375,0.61875,0.6625,0.375,0.0,0.32499999999999996,0.5,0.3625,0.50625,0.425,0.425,0.60625,0.2625,0.475,0.375,0.40625,0.25625,0.30625,0.39375,0.44375,0.28125,0.40625,0.44375,0.28125,0.36875,0.3125,0.5,0.575,0.475,0.5874999999999999,0.38749999999999996,0.30625,0.53125,0.33125,0.3125,0.43125,0.39999999999999997,16.48125,33.0
Dalian,0.31875,0.7,0.63125,0.6625,0.70625,0.74375,0.61875,0.675,0.0,0.7125,0.73125,0.6625,0.66875,0.65625,0.6875,0.53125,0.5,0.5875,0.675,0.36875,0.33125000000000004,0.6625,0.61875,0.55625,0.6499999999999999,0.71875,0.5875,0.39375,0.30625,0.59375,0.73125,0.525,0.7,0.4125,0.54375,0.68125,0.46875,0.675,0.5875,0.55,23.13125,7.0
Changchun,0.35,0.44375,0.5062500000000001,0.5375000000000001,0.625,0.69375,0.38125,0.5,0.2875,0.0,0.425,0.475,0.5375,0.5375,0.63125,0.35,0.4375,0.3125,0.3375,0.225,0.25625,0.3125,0.40625,0.25625,0.4,0.39375,0.3875,0.33749999999999997,0.30624999999999997,0.46875,0.6125,0.38125,0.56875,0.35625,0.2875,0.55625,0.31875,0.40625,0.55,0.375,16.53125,32.0
