,thres_ref,indiff_threshold_00,indiff_threshold_01,indiff_threshold_02,indiff_threshold_03,indiff_threshold_04,indiff_threshold_05,indiff_threshold_06,indiff_threshold_07,indiff_threshold_08,indiff_threshold_09,indiff_threshold_10
Beijing,1,16,12,11,9,9,8,7,7,6,5,5
Tianjin,35,40,39,39,39,39,39,39,39,39,39,39
Shijiazhuang,30,38,38,38,38,38,38,38,38,38,38,38
Qinhuangdao,21,35,35,35,35,35,35,35,34,33,31,31
Baoding,32.5,37,37,37,37,36,36,36,36,36,36,36
Taiyuan,39,39,40,40,40,40,40,40,40,40,40,40
Hohhot,9,27,27,26,26,26,26,25,24,24,24,24
Shenyang,34,36,36,36,36,37,37,37,37,37,37,37
Dalian,11,28,28,27,27,27,27,27,26,26,25,25
Changchun,32.5,34,34,34,34,34,34,34,35,35,35,35
Harbin,27,32,31,31,31,31,30,30,30,30,30,30
Shanghai,26,30,30,30,30,29,29,29,29,29,29,29
Nanjing,31,33,32,32,32,32,32,32,31,31,32,32
Suzhou,28,29,29,29,28,28,28,28,28,28,28,28
Zhenjiang,37,31,33,33,33,33,33,33,33,34,34,34
Hangzhou,12,23,23,21,20,21,21,21,21,18,19,19
Ningbo,17,24,24,23,23,23,23,23,23,23,23,23
Wenzhou,14,22,20,20,21,20,20,19,20,21,21,20
Hefei,23,26,25,25,25,24,24,24,25,25,26,26
Fuzhou,6,13,13,12,12,12,12,12,12,11,11,11
Xiamen,3,10,9,7,7,6,6,6,5,5,6,6
Nanchang,20,21,21,22,22,22,22,22,22,22,22,22
Jinan,19,19,19,19,19,19,19,18,18,19,20,21
Qingdao,16,14,15,15,15,14,14,14,14,14,14,14
Zhengzhou,22,18,18,17,17,16,17,17,17,17,16,15
Wuhan,24,17,16,16,16,17,16,16,15,15,17,16
Changsha,15,11,11,13,13,13,13,13,13,13,13,13
Guangzhou,4,4,4,4,4,4,4,4,4,4,4,4
Shenzhen,2,2,2,1,1,1,1,1,1,1,1,1
Nanning,29,15,17,18,18,18,18,20,19,20,18,18
Guilin,38,20,22,24,24,25,25,26,27,27,27,27
Haikou,10,9,10,9,10,10,10,10,10,10,10,10
Chongqing,40,25,26,28,29,30,31,31,32,32,33,33
Chengdu,5,3,3,3,3,3,3,3,3,3,3,3
Guiyang,13,8,7,8,8,8,9,9,8,8,8,8
Zunyi,36,12,14,14,14,15,15,15,16,16,15,17
Kunming,8,6,5,5,5,5,5,5,6,7,7,7
Xian,25,7,8,10,11,11,11,11,11,12,12,12
Lanzhou,18,5,6,6,6,7,7,8,9,9,9,9
Urumqi,7,1,1,2,2,2,2,2,2,2,2,2
