City,Beijing,Tianjin,Shijiazhuang,Qinhuangdao,Baoding,Taiyuan,Hohhot,Shenyang,Dalian,Changchun,Harbin,Shanghai,Nanjing,Suzhou,Zhenjiang,Hangzhou,Ningbo,Wenzhou,Hefei,Fuzhou,Xiamen,Nanchang,Jinan,Qingdao,Zhengzhou,Wuhan,Changsha,Guangzhou,Shenzhen,Nanning,Guilin,Haikou,Chongqing,Chengdu,Guiyang,Zunyi,Kunming,Xi’an,Lanzhou,Urumqi,RowSum,Rank
Beijing,0.0,0.7833333333333333,0.7833333333333333,0.775,0.75,0.8458333333333332,0.7208333333333333,0.825,0.7208333333333333,0.7833333333333333,0.7416666666666667,0.7625,0.8041666666666667,0.7833333333333333,0.8083333333333332,0.7666666666666666,0.7416666666666667,0.7416666666666667,0.7416666666666667,0.7000000000000001,0.6791666666666667,0.7000000000000001,0.7833333333333333,0.7416666666666667,0.7416666666666667,0.7416666666666667,0.7416666666666667,0.6791666666666667,0.5499999999999999,0.7999999999999999,0.8416666666666666,0.7458333333333333,0.825,0.6583333333333333,0.6375000000000001,0.7416666666666667,0.7000000000000001,0.7416666666666667,0.8041666666666667,0.7416666666666667,29.175,1.0
Tianjin,0.21666666666666667,0.0,0.6333333333333334,0.5583333333333333,0.55,0.6541666666666668,0.5520833333333334,0.6666666666666667,0.5833333333333334,0.6333333333333334,0.6666666666666667,0.6250000000000001,0.6541666666666668,0.6333333333333334,0.6333333333333334,0.6333333333333334,0.5916666666666668,0.5916666666666668,0.6666666666666667,0.5083333333333333,0.45833333333333337,0.6166666666666668,0.5916666666666668,0.6666666666666667,0.6395833333333334,0.6666666666666667,0.6333333333333334,0.5083333333333334,0.4416666666666667,0.5708333333333333,0.6833333333333335,0.55,0.7000000000000001,0.5666666666666668,0.6041666666666667,0.6500000000000001,0.5916666666666667,0.6666666666666667,0.5708333333333334,0.5833333333333334,23.212500000000006,4.0
Shijiazhuang,0.21666666666666667,0.3666666666666666,0.0,0.55,0.6208333333333333,0.6875000000000001,0.5583333333333333,0.6833333333333335,0.5083333333333334,0.6625000000000001,0.6416666666666667,0.6583333333333334,0.6541666666666668,0.5916666666666668,0.6333333333333334,0.6083333333333334,0.525,0.6083333333333334,0.6500000000000001,0.55,0.4916666666666667,0.6250000000000001,0.6500000000000001,0.6083333333333334,0.6083333333333334,0.6833333333333335,0.6083333333333334,0.4416666666666667,0.45833333333333337,0.6000000000000001,0.6583333333333334,0.525,0.7000000000000001,0.4166666666666667,0.6166666666666667,0.6250000000000001,0.5041666666666667,0.6666666666666667,0.5416666666666667,0.6000000000000001,22.60416666666667,8.0
Qinhuangdao,0.22499999999999998,0.44166666666666665,0.44999999999999996,0.0,0.6791666666666667,0.725,0.5375,0.7208333333333333,0.5583333333333333,0.6937500000000001,0.6166666666666667,0.7166666666666667,0.6708333333333334,0.6708333333333334,0.6708333333333334,0.5666666666666668,0.5875,0.6708333333333334,0.5541666666666666,0.45833333333333337,0.5333333333333333,0.6375,0.6708333333333334,0.5333333333333333,0.5833333333333334,0.6166666666666667,0.6000000000000001,0.5,0.5166666666666667,0.7208333333333333,0.7000000000000001,0.6666666666666667,0.7208333333333333,0.5333333333333333,0.5750000000000001,0.6375000000000001,0.4,0.6000000000000001,0.6041666666666667,0.5166666666666667,23.081249999999997,5.0
Baoding,0.25,0.44999999999999996,0.37916666666666665,0.3208333333333333,0.0,0.6125,0.5208333333333334,0.6083333333333334,0.5083333333333334,0.6666666666666667,0.6416666666666667,0.6416666666666667,0.6541666666666667,0.6333333333333334,0.6333333333333334,0.55,0.6083333333333334,0.5666666666666667,0.6500000000000001,0.4416666666666667,0.48333333333333334,0.6833333333333335,0.6083333333333334,0.5666666666666667,0.5666666666666667,0.6083333333333334,0.55,0.48333333333333334,0.4166666666666667,0.5333333333333333,0.6416666666666667,0.6083333333333334,0.6833333333333335,0.5,0.4833333333333334,0.5416666666666667,0.44583333333333336,0.65,0.525,0.5166666666666667,21.433333333333337,12.0
Taiyuan,0.15416666666666679,0.3458333333333332,0.3124999999999999,0.275,0.38749999999999996,0.0,0.5,0.6145833333333334,0.5208333333333334,0.6458333333333334,0.6166666666666668,0.6166666666666668,0.55,0.58125,0.6020833333333334,0.5395833333333333,0.45625,0.55,0.6104166666666667,0.48333333333333334,0.3916666666666667,0.5729166666666666,0.58125,0.5895833333333335,0.55,0.5729166666666666,0.5062500000000001,0.4833333333333334,0.40625,0.6000000000000001,0.6416666666666667,0.4729166666666666,0.6000000000000001,0.48125,0.6000000000000001,0.6250000000000001,0.45625,0.6166666666666668,0.5208333333333334,0.5,20.13125,19.0
Hohhot,0.2791666666666667,0.44791666666666663,0.44166666666666665,0.4625,0.47916666666666663,0.5,0.0,0.6875000000000001,0.6125,0.6875000000000001,0.6875000000000001,0.6416666666666667,0.6958333333333333,0.6958333333333333,0.70625,0.6125,0.6125,0.5708333333333333,0.5875,0.6125,0.5208333333333334,0.6458333333333334,0.6333333333333334,0.6291666666666668,0.7020833333333334,0.6458333333333334,0.6541666666666668,0.5916666666666668,0.42083333333333334,0.6708333333333334,0.7041666666666667,0.65,0.7875,0.5625,0.7041666666666667,0.6875000000000001,0.675,0.6875000000000001,0.6916666666666668,0.5208333333333334,23.806250000000002,3.0
Shenyang,0.17500000000000004,0.33333333333333326,0.31666666666666654,0.2791666666666667,0.3916666666666666,0.38541666666666663,0.3124999999999999,0.0,0.6666666666666667,0.6833333333333335,0.6833333333333335,0.6000000000000001,0.6875000000000001,0.6229166666666668,0.6645833333333334,0.6229166666666668,0.4979166666666667,0.6333333333333334,0.6562500000000001,0.4666666666666667,0.45000000000000007,0.6562500000000001,0.58125,0.6562500000000001,0.6500000000000001,0.6562500000000001,0.5729166666666667,0.42500000000000004,0.43125,0.6500000000000001,0.7000000000000001,0.5395833333333333,0.6666666666666667,0.5062500000000001,0.5416666666666666,0.6833333333333335,0.4979166666666666,0.6666666666666667,0.5708333333333334,0.5833333333333334,21.364583333333336,13.0
Dalian,0.2791666666666667,0.41666666666666663,0.4916666666666666,0.44166666666666665,0.4916666666666666,0.47916666666666663,0.38749999999999996,0.33333333333333326,0.0,0.7458333333333333,0.6583333333333334,0.6833333333333333,0.7291666666666667,0.675,0.6958333333333334,0.6333333333333334,0.675,0.6333333333333334,0.6875000000000001,0.6250000000000001,0.6666666666666667,0.6666666666666667,0.6125,0.6416666666666667,0.6708333333333334,0.6666666666666667,0.6833333333333335,0.6125,0.4416666666666667,0.7250000000000001,0.6583333333333334,0.675,0.75,0.6208333333333333,0.6416666666666667,0.7250000000000001,0.7083333333333334,0.6666666666666667,0.6083333333333334,0.6416666666666667,23.84583333333333,2.0
Changchun,0.21666666666666667,0.3666666666666666,0.3374999999999999,0.3062499999999999,0.33333333333333326,0.35416666666666663,0.3124999999999999,0.31666666666666654,0.25416666666666665,0.0,0.6416666666666667,0.6000000000000001,0.6125,0.6333333333333334,0.675,0.5916666666666668,0.6333333333333334,0.6333333333333334,0.6500000000000001,0.6083333333333334,0.4000000000000001,0.6833333333333335,0.6125,0.6083333333333334,0.6083333333333334,0.6083333333333334,0.5916666666666668,0.525,0.45833333333333337,0.6083333333333334,0.6333333333333334,0.6083333333333334,0.7250000000000001,0.525,0.5458333333333333,0.6083333333333334,0.5499999999999999,0.6250000000000001,0.5458333333333334,0.5416666666666667,20.68958333333333,16.0
Harbin,0.2583333333333333,0.33333333333333326,0.3583333333333333,0.3833333333333333,0.3583333333333333,0.3833333333333332,0.3124999999999999,0.31666666666666654,0.34166666666666656,0.3583333333333333,0.0,0.6250000000000001,0.6208333333333335,0.675,0.6958333333333334,0.6333333333333334,0.675,0.6333333333333334,0.6208333333333335,0.6000000000000001,0.46666666666666673,0.6666666666666667,0.6541666666666668,0.6000000000000001,0.6500000000000001,0.6666666666666667,0.6333333333333334,0.6333333333333334,0.45000000000000007,0.6333333333333334,0.6833333333333335,0.5583333333333333,0.75,0.55,0.6458333333333334,0.6333333333333334,0.6333333333333334,0.6458333333333334,0.6333333333333334,0.5833333333333334,21.554166666666667,10.0
Shanghai,0.23750000000000004,0.3749999999999999,0.34166666666666656,0.2833333333333333,0.3583333333333333,0.3833333333333332,0.3583333333333333,0.3999999999999999,0.31666666666666665,0.3999999999999999,0.3749999999999999,0.0,0.6416666666666667,0.6416666666666667,0.7166666666666667,0.6000000000000001,0.5708333333333334,0.6541666666666668,0.675,0.6541666666666668,0.46666666666666673,0.7083333333333334,0.675,0.6333333333333334,0.64375,0.6541666666666668,0.6208333333333335,0.48750000000000004,0.46666666666666673,0.6208333333333335,0.6666666666666667,0.6541666666666668,0.7291666666666667,0.48750000000000004,0.5916666666666668,0.6333333333333334,0.5375000000000001,0.6541666666666668,0.5708333333333334,0.5833333333333334,21.06875,14.0
Nanjing,0.1958333333333333,0.3458333333333332,0.3458333333333332,0.3291666666666666,0.3458333333333333,0.44999999999999996,0.3041666666666667,0.3124999999999999,0.27083333333333326,0.38749999999999996,0.37916666666666654,0.3583333333333333,0.0,0.6666666666666667,0.6333333333333334,0.5916666666666668,0.6250000000000001,0.5833333333333334,0.6416666666666667,0.5,0.43333333333333335,0.6416666666666667,0.6250000000000001,0.6416666666666667,0.525,0.6416666666666667,0.6416666666666667,0.5416666666666667,0.43333333333333335,0.7000000000000001,0.6583333333333334,0.525,0.7000000000000001,0.5750000000000001,0.45,0.6166666666666667,0.41666666666666663,0.6416666666666667,0.6166666666666667,0.6000000000000001,19.891666666666666,21.0
Suzhou,0.21666666666666667,0.3666666666666666,0.4083333333333332,0.3291666666666666,0.3666666666666666,0.41874999999999996,0.3041666666666667,0.3770833333333332,0.32499999999999996,0.3666666666666666,0.32499999999999996,0.3583333333333333,0.33333333333333326,0.0,0.6562500000000001,0.6562500000000001,0.6562500000000001,0.6666666666666667,0.5895833333333335,0.5,0.47500000000000003,0.5895833333333335,0.6354166666666667,0.6062500000000001,0.6000000000000001,0.5895833333333335,0.6062500000000001,0.5416666666666667,0.46458333333333335,0.6250000000000001,0.7000000000000001,0.5895833333333333,0.7416666666666667,0.6229166666666667,0.4916666666666667,0.6333333333333333,0.53125,0.6000000000000001,0.6041666666666667,0.5583333333333333,20.027083333333337,20.0
Zhenjiang,0.19166666666666676,0.3666666666666666,0.3666666666666666,0.3291666666666666,0.3666666666666666,0.3979166666666666,0.29374999999999996,0.3354166666666666,0.3041666666666666,0.32499999999999996,0.3041666666666666,0.2833333333333333,0.3666666666666666,0.3437499999999999,0.0,0.53125,0.5729166666666667,0.5833333333333334,0.5895833333333335,0.4166666666666667,0.5166666666666667,0.5479166666666667,0.5520833333333334,0.6062500000000001,0.5583333333333333,0.5895833333333335,0.6062500000000001,0.45833333333333337,0.5062500000000001,0.6583333333333334,0.6166666666666667,0.4895833333333333,0.6833333333333335,0.48125,0.49583333333333335,0.6166666666666667,0.46875,0.5583333333333333,0.5375000000000001,0.5583333333333333,18.375,27.0
Hangzhou,0.2333333333333334,0.3666666666666666,0.3916666666666666,0.43333333333333324,0.44999999999999996,0.4604166666666667,0.38749999999999996,0.3770833333333332,0.3666666666666666,0.4083333333333332,0.3666666666666666,0.3999999999999999,0.4083333333333332,0.3437499999999999,0.46875,0.0,0.6562500000000001,0.6666666666666667,0.6729166666666668,0.6666666666666667,0.5583333333333333,0.6729166666666668,0.6562500000000001,0.6895833333333334,0.6833333333333335,0.6729166666666668,0.6729166666666668,0.5833333333333334,0.46458333333333335,0.6666666666666667,0.7000000000000001,0.63125,0.7416666666666667,0.6125,0.7000000000000001,0.7583333333333333,0.65625,0.6833333333333335,0.6041666666666667,0.6000000000000001,21.533333333333335,11.0
Ningbo,0.2583333333333333,0.4083333333333332,0.475,0.4125,0.3916666666666666,0.54375,0.38749999999999996,0.5020833333333333,0.32499999999999996,0.3666666666666666,0.32499999999999996,0.4291666666666666,0.3749999999999999,0.3437499999999999,0.42708333333333326,0.3437499999999999,0.0,0.6666666666666667,0.6104166666666667,0.5416666666666667,0.6000000000000001,0.5895833333333335,0.5520833333333334,0.5895833333333335,0.6625,0.6104166666666667,0.5895833333333335,0.5416666666666667,0.5062500000000001,0.7083333333333334,0.6583333333333333,0.6562500000000001,0.7250000000000001,0.5895833333333335,0.5583333333333333,0.6416666666666667,0.5729166666666666,0.6208333333333333,0.6041666666666667,0.5583333333333333,20.26875,17.0
Wenzhou,0.2583333333333333,0.4083333333333332,0.3916666666666666,0.3291666666666666,0.43333333333333335,0.44999999999999996,0.4291666666666667,0.3666666666666666,0.3666666666666666,0.3666666666666666,0.3666666666666666,0.3458333333333332,0.41666666666666663,0.33333333333333326,0.41666666666666663,0.33333333333333326,0.33333333333333326,0.0,0.7041666666666667,0.6666666666666667,0.6000000000000001,0.6833333333333335,0.6458333333333334,0.6833333333333335,0.7041666666666667,0.6937500000000001,0.6833333333333335,0.5416666666666667,0.5166666666666667,0.6666666666666667,0.7000000000000001,0.6250000000000001,0.7250000000000001,0.6000000000000001,0.7041666666666667,0.6833333333333335,0.7083333333333334,0.7041666666666667,0.6041666666666667,0.6000000000000001,20.789583333333336,15.0
Hefei,0.2583333333333333,0.33333333333333326,0.34999999999999987,0.4458333333333334,0.34999999999999987,0.3895833333333333,0.4125,0.3437499999999999,0.3124999999999999,0.34999999999999987,0.37916666666666654,0.32499999999999996,0.3583333333333333,0.41041666666666654,0.41041666666666654,0.32708333333333317,0.3895833333333333,0.2958333333333333,0.0,0.5833333333333334,0.5416666666666667,0.6145833333333334,0.58125,0.6562500000000001,0.6333333333333334,0.6562500000000001,0.6395833333333334,0.55,0.41458333333333336,0.6666666666666667,0.6833333333333335,0.58125,0.75,0.5895833333333335,0.5833333333333334,0.6833333333333335,0.6229166666666667,0.6666666666666667,0.6291666666666668,0.5583333333333333,19.327083333333334,22.0
Fuzhou,0.29999999999999993,0.4916666666666667,0.44999999999999996,0.5416666666666666,0.5583333333333333,0.5166666666666666,0.38749999999999996,0.5333333333333333,0.3749999999999999,0.3916666666666666,0.3999999999999999,0.3458333333333332,0.5,0.5,0.5833333333333333,0.33333333333333326,0.45833333333333326,0.33333333333333326,0.41666666666666663,0.0,0.6000000000000001,0.7041666666666667,0.6875000000000001,0.6666666666666667,0.6708333333333334,0.725,0.6729166666666667,0.6875000000000001,0.5375,0.7250000000000001,0.7625,0.6750000000000002,0.8083333333333332,0.6000000000000001,0.6416666666666667,0.7458333333333333,0.7083333333333334,0.7041666666666667,0.7041666666666668,0.6000000000000001,22.043750000000003,9.0
Xiamen,0.3208333333333333,0.5416666666666666,0.5083333333333333,0.4666666666666667,0.5166666666666666,0.6083333333333333,0.47916666666666663,0.5499999999999999,0.33333333333333326,0.5999999999999999,0.5333333333333332,0.5333333333333332,0.5666666666666667,0.5249999999999999,0.4833333333333333,0.44166666666666665,0.3999999999999999,0.3999999999999999,0.45833333333333326,0.3999999999999999,0.0,0.75,0.7375,0.7083333333333334,0.7541666666666667,0.7291666666666667,0.7291666666666667,0.6333333333333334,0.46666666666666673,0.7166666666666668,0.7833333333333333,0.675,0.75,0.6416666666666666,0.7083333333333334,0.7666666666666667,0.6958333333333334,0.7708333333333334,0.6958333333333334,0.6875000000000001,23.066666666666666,6.0
Nanchang,0.29999999999999993,0.3833333333333332,0.3749999999999999,0.36250000000000004,0.31666666666666654,0.42708333333333337,0.35416666666666663,0.3437499999999999,0.33333333333333326,0.31666666666666654,0.33333333333333326,0.29166666666666663,0.3583333333333333,0.41041666666666654,0.4520833333333333,0.32708333333333317,0.41041666666666654,0.31666666666666654,0.38541666666666663,0.2958333333333333,0.25,0.0,0.6020833333333334,0.6562500000000001,0.6541666666666668,0.6770833333333335,0.6229166666666668,0.5916666666666668,0.4729166666666667,0.6333333333333334,0.6833333333333335,0.58125,0.7416666666666667,0.55625,0.6250000000000001,0.6500000000000001,0.6645833333333334,0.6875000000000001,0.6125,0.5416666666666667,18.597916666666666,25.0
Jinan,0.21666666666666667,0.4083333333333332,0.34999999999999987,0.3291666666666666,0.3916666666666666,0.41874999999999996,0.3666666666666666,0.41874999999999996,0.38749999999999996,0.38749999999999996,0.3458333333333332,0.32499999999999996,0.3749999999999999,0.36458333333333326,0.44791666666666663,0.3437499999999999,0.44791666666666663,0.35416666666666663,0.41874999999999996,0.3124999999999999,0.26249999999999996,0.3979166666666666,0.0,0.6312500000000001,0.6500000000000001,0.6729166666666668,0.6312500000000001,0.5416666666666667,0.46458333333333335,0.6250000000000001,0.6583333333333334,0.58125,0.7041666666666667,0.6062500000000001,0.5791666666666667,0.6416666666666667,0.6145833333333334,0.6833333333333335,0.5541666666666667,0.6000000000000001,18.510416666666664,26.0
Qingdao,0.2583333333333333,0.33333333333333326,0.3916666666666666,0.4666666666666667,0.43333333333333335,0.41041666666666654,0.37083333333333324,0.3437499999999999,0.3583333333333333,0.3916666666666666,0.3999999999999999,0.3666666666666666,0.3583333333333333,0.39374999999999993,0.39374999999999993,0.31041666666666656,0.41041666666666654,0.31666666666666654,0.3437499999999999,0.33333333333333326,0.29166666666666663,0.3437499999999999,0.3687499999999999,0.0,0.6500000000000001,0.6562500000000001,0.6395833333333334,0.6333333333333334,0.43125,0.7291666666666667,0.7250000000000001,0.6229166666666667,0.75,0.5895833333333335,0.6250000000000001,0.7250000000000001,0.5479166666666666,0.6666666666666667,0.6708333333333334,0.5833333333333334,18.635416666666668,24.0
Zhengzhou,0.2583333333333333,0.3604166666666666,0.3916666666666666,0.41666666666666663,0.43333333333333335,0.44999999999999996,0.2979166666666666,0.34999999999999987,0.3291666666666666,0.3916666666666666,0.34999999999999987,0.35624999999999996,0.475,0.3999999999999999,0.44166666666666665,0.31666666666666654,0.3375,0.2958333333333333,0.3666666666666666,0.3291666666666666,0.24583333333333335,0.3458333333333332,0.34999999999999987,0.34999999999999987,0.0,0.6833333333333335,0.6500000000000001,0.5583333333333333,0.45833333333333337,0.6125,0.6458333333333334,0.5416666666666666,0.6916666666666667,0.5333333333333333,0.6083333333333334,0.6458333333333334,0.5458333333333334,0.6500000000000001,0.6291666666666668,0.5666666666666668,17.660416666666663,30.0
Wuhan,0.2583333333333333,0.33333333333333326,0.31666666666666654,0.3833333333333333,0.3916666666666666,0.42708333333333337,0.35416666666666663,0.3437499999999999,0.33333333333333326,0.3916666666666666,0.33333333333333326,0.3458333333333332,0.3583333333333333,0.41041666666666654,0.41041666666666654,0.32708333333333317,0.3895833333333333,0.3062499999999999,0.3437499999999999,0.275,0.27083333333333326,0.3229166666666665,0.32708333333333317,0.3437499999999999,0.31666666666666654,0.0,0.6562500000000001,0.6333333333333334,0.41458333333333336,0.5916666666666668,0.7000000000000001,0.5395833333333333,0.75,0.5729166666666667,0.5625,0.7250000000000001,0.5812499999999999,0.6666666666666667,0.6541666666666668,0.5833333333333334,17.245833333333334,31.0
