,thres_ref,indiff_threshold_00,indiff_threshold_01,indiff_threshold_02,indiff_threshold_03,indiff_threshold_04,indiff_threshold_05,indiff_threshold_06,indiff_threshold_07,indiff_threshold_08,indiff_threshold_09,indiff_threshold_10
Beijing,2,1,1,1,1,1,1,1,1,1,1,1
Tianjin,29,10,12,12,16,18.5,23,26,28,29,32,35
Shijiazhuang,33,13,14.5,16.5,19,23,25,28,29,30,30,30
Qinhuangdao,27,8,9,10,11,11,13,14,18,20,20,21
Baoding,36,19,20,22.5,28,28,32,33,31,33,33,32
Taiyuan,40,28,31,33,34,34,37,37,38,38,39,39
Hohhot,13,5,5,5,6,6,7,8,8,8,8,9
Shenyang,31,17,17,20,24,27,31,31,34,31.5,35,34
Dalian,9,4,4,4,5,7,8,7,7,9,9,11
Changchun,28,23,26,28,30,29,30,30,32,35,34,33
Harbin,18,14,13,15,17,17,21,21,22,21,25,27
Shanghai,32,15,14.5,13,15,15,16,19,20,23,26,26
Nanjing,34,25,28,29,29,30,33,32,33,34,31,31
Suzhou,25,21,21,22.5,23,25,24,23,26,27,28,28
Zhenjiang,35,34,34,35,35,36,36,36,36,37,37,37
Hangzhou,12,9,8,8,9,9,9,9,10,10,12,12
Ningbo,15,16,16,14,13,14,15,15,16,17,17,17
Wenzhou,17,11,11,11,10,10,11,11,12,13,14,14
Hefei,21,20,22,26,27,26,26,25,24,24,24,23
Fuzhou,4,6,6,6,4,5,5,5,5,5,6,6
Xiamen,3,3,3,3,3,3,3,3,3,3,3,3
Nanchang,19,26,27,27,26,24,22,22,23,22,21,20
Jinan,14,24,24,24,22,21,19,20,19,18,19,19
Qingdao,6,22,19,19,21,22,20,18,17,16,16,16
Zhengzhou,22,32,32,31,31,31,28,29,27,25,23,22
Wuhan,26,33,33,32,32,32,27,27,25,26,22,24
Changsha,20,29,29,25,20,18.5,17,17,15,15,15,15
Guangzhou,11,7,7,7,7,4,4,4,4,4,4,4
Shenzhen,1,2,2,2,2,2,2,2,2,2,2,2
Nanning,30,36,36,36,36,35,34,35,35,31.5,29,29
Guilin,39,39,39,39,39,39,39,39,39,39,38,38
Haikou,7,18,18,16.5,12,13,12,12,11,11,10,10
Chongqing,38,40,40,40,40,40,40,40,40,40,40,40
Chengdu,8,12,10,9,8,8,6,6,6,6,5,5
Guiyang,10,31,30,30,25,20,18,16,14,14,13,13
Zunyi,37,38,38,38,38,38,38,38,37,36,36,36
Kunming,5,30,25,21,18,16,14,13,13,12,11,8
Xian,24,37,37,37,37,37,35,34,30,28,27,25
Lanzhou,23,35,35,34,33,33,29,24,21,19,18,18
Urumqi,16,27,23,18,14,12,10,10,9,7,7,7
