,thres_ref,indiff_threshold_00,indiff_threshold_01,indiff_threshold_02,indiff_threshold_03,indiff_threshold_04,indiff_threshold_05,indiff_threshold_06,indiff_threshold_07,indiff_threshold_08,indiff_threshold_09,indiff_threshold_10
Beijing,2,1,1,1,1,1,1,1,1,1,1,1
Tianjin,29,4,7,9,9,8,8,10,10,10,10,10
Shijiazhuang,33,8,8,8,8,9,11,11,12,12,13,13
Qinhuangdao,27,5,6,6,6,6,7,7,7,7,8,8
Baoding,36,12,12,11,15,15,18,18,18,18,18,19
Taiyuan,40,19,19,19,19,19,20,21,24,24,26,28
Hohhot,13,3,5,5,5,4,4,4,4,5,4,5
Shenyang,31,13,13,15,16,16,17,17,17,17,17,17
Dalian,9,2,2,3,4,5,5,5,5,4,5,4
Changchun,28,16,18,18,20,20,19,19,19,19,23,23
Harbin,18,10,11,12,13,13,13,13,13,14,14,14
Shanghai,32,14,15,16,14,14,14,14,15,15,15,15
Nanjing,34,21,21,23,23,23,24,25,25,25,25,25
Suzhou,25,20,20,20,21,21,21,20,21,20,20,21
Zhenjiang,35,27,27,29,29,32,33,34,34,34,34,34
Hangzhou,12,11,10,10,10,10,9,9,9,9,9,9
Ningbo,15,17,17,17,17,18,16,16,16,16,16,16
Wenzhou,17,15,14,14,12,12,12,12,11,11,11,11
Hefei,21,22,23,22,22,22,22,22,20,21,19,20
Fuzhou,4,9,9,7,7,7,6,6,6,6,6,6
Xiamen,3,6,4,4,3,3,3,3,3,3,3,3
Nanchang,19,25,25,25,25,25,26,26,26,27,27,26
Jinan,14,26,26,26,26,27,27,27,27,26,24,24
Qingdao,6,24,24,24,24,24,23,23,22,23,22,22
Zhengzhou,22,30,30,30,30,31,31,31,31,31,31,32
Wuhan,26,31,31,32.5,34,34,34,33,33,33,33,33
Changsha,20,28,29,28,28,28,28,28,28,28,28,29
Guangzhou,11,18,16,13,11,11,10,8,8,8,7,7
Shenzhen,1,7,3,2,2,2,2,2,2,2,2,2
Nanning,30,35,35,35,35,35,35,35,35,35,35,36
Guilin,39,37,38,38,38,38,39,39,39,39,39,39
Haikou,7,29,28,27,27,26,25,24,23,22,21,18
Chongqing,38,40,40,40,40,40,40,40,40,40,40,40
Chengdu,8,23,22,21,18,17,15,15,14,13,12,12
Guiyang,10,33,33,32.5,33,33,32,32,32,32,32,31
Zunyi,37,39,39,39,39,39,38,38,38,38,38,38
Kunming,5,32,32,31,31,30,30,30,30,30,30,30
Xian,24,38,37,37,37,37,37,37,37,37,37,37
Lanzhou,23,36,36,36,36,36,36,36,36,36,36,35
Urumqi,16,34,34,34,32,29,29,29,29,29,29,27
