,thres_ref,pref_threshold_00,pref_threshold_01,pref_threshold_02,pref_threshold_03,pref_threshold_04,pref_threshold_05,pref_threshold_06,pref_threshold_07,pref_threshold_08,pref_threshold_09,pref_threshold_10
Beijing,2,1,1,1,1,1,1,2,2,2,3,5
Tianjin,29,33,37,37,38,38,39,38,39,39,39,39
Shijiazhuang,33,28,30,31,33,35,34,36,36,36,38,38
Qinhuangdao,27,25,25,25,29,27,27,28,28,30,31,31
Baoding,36,29,28,30,30,30,31,33,33,33,33,36
Taiyuan,40,39,39,39,39,39,38,40,40,40,40,40
Hohhot,13,11,11,13,15,16,17,17,18,21,23,24
Shenyang,31,36,35,36,36,36,36,35,35,35,37,37
Dalian,9,7,7,7,9,10,12,14,15,18,22,25
Changchun,28,34,33,34,35,33,35,34,34,32,34,35
Harbin,18,26,26,27,26,29,30,30,30,31,30,30
Shanghai,32,27,27,26,25,28,28,29,29,28,28,29
Nanjing,34,32,32,33,31,32,32,31,32,34,32,32
Suzhou,25,35,34,32,34,34,33,32,31,29,29,28
Zhenjiang,35,38,38,38,37,37,37,37,37,37,36,34
Hangzhou,12,12,13,12,14,14,15,15,16,15,15,19
Ningbo,15,22,24,24,24,24,22,23,23,25,25,23
Wenzhou,17,16,16,17,20,19,19,21,20,20,19,20
Hefei,21,23,23,23,21,20,23,22,25,26,26,26
Fuzhou,4,2,4,5,5,5,5,5,8,8,10,11
Xiamen,3,4,3,3,4,4,4,4,4,5,5,6
Nanchang,19,19,19,21,18,22,24,24,24,23,24,22
Jinan,14,18,17,20,23,23,21,19,21,19,17,21
Qingdao,6,13,12,11,12,12,13,11,12,14,14,14
Zhengzhou,22,17,21,19,19,18,18,18,19,17,18,15
Wuhan,26,24,22,22,22,21,20,20,17,16,16,16
Changsha,20,14,14,14,11,11,10,12,11,12,13,13
Guangzhou,11,5,5,4,3,3,3,3,3,3,6,4
Shenzhen,1,3,2,2,2,2,2,1,1,1,1,1
Nanning,30,30,29,29,27,26,26,26,26,24,20,18
Guilin,39,37,36,35,32,31,29,27,27,27,27,27
Haikou,7,15,15,15,13,13,11,10,10,10,9,10
Chongqing,38,40,40,40,40,40,40,39,38,38,35,33
Chengdu,8,8,8,8,7,8,8,8,7,6,4,3
Guiyang,10,9,9.5,10,10,9,9,9,9,9,8,8
Zunyi,37,31,31,28,28,25,25,25,22,22,21,17
Kunming,5,6,6,6,6,7,7,6,6,7,7,7
Xian,24,20,18,16,17,17,16,16,14,13,12,12
Lanzhou,23,21,20,18,16,15,14,13,13,11,11,9
Urumqi,16,10,9.5,9,8,6,6,7,5,4,2,2
