City,Beijing,Tianjin,Shijiazhuang,Qinhuangdao,Baoding,Taiyuan,Hohhot,Shenyang,Dalian,Changchun,Harbin,Shanghai,Nanjing,Suzhou,Zhenjiang,Hangzhou,Ningbo,Wenzhou,Hefei,Fuzhou,Xiamen,Nanchang,Jinan,Qingdao,Zhengzhou,Wuhan,Changsha,Guangzhou,Shenzhen,Nanning,Guilin,Haikou,Chongqing,Chengdu,Guiyang,Zunyi,Kunming,Xi’an,Lanzhou,Urumqi,RowSum,Rank
Beijing,0.0,0.675,0.675,0.6875,0.65,0.76875,0.58125,0.7375,0.58125,0.675,0.6125,0.64375,0.70625,0.675,0.7125000000000001,0.6500000000000001,0.64375,0.64375,0.6125,0.58125,0.55,0.58125,0.675,0.6125,0.6125,0.6125,0.6125,0.55,0.48125,0.73125,0.7625,0.65,0.7375,0.55,0.51875,0.64375,0.6125,0.6125,0.70625,0.6125,24.93750000000001,1.0
Tianjin,0.32499999999999996,0.0,0.475,0.41874999999999996,0.4125,0.50625,0.4375,0.5,0.4375,0.475,0.5,0.46875,0.50625,0.475,0.475,0.475,0.44375,0.44375,0.5,0.38125,0.34375,0.46875,0.44375,0.5,0.5,0.5,0.475,0.38125,0.34375,0.44375,0.5249999999999999,0.4125,0.5625,0.4375,0.46875,0.5,0.475,0.5,0.44375,0.4375,17.818749999999998,35.0
Shijiazhuang,0.32499999999999996,0.525,0.0,0.4125,0.49375,0.53125,0.46249999999999997,0.5249999999999999,0.38125,0.525,0.49374999999999997,0.51875,0.50625,0.44375,0.50625,0.46875,0.40625,0.46875,0.5,0.4125,0.39375000000000004,0.46875,0.5,0.46875,0.46875,0.5249999999999999,0.46875,0.34375,0.36875,0.46249999999999997,0.51875,0.40625,0.58125,0.3375,0.4875,0.49375,0.40625,0.5,0.43125,0.46249999999999997,18.0,30.0
Qinhuangdao,0.3125,0.58125,0.5875,0.0,0.58125,0.5875000000000001,0.43125,0.58125,0.4625,0.55625,0.48750000000000004,0.575,0.53125,0.53125,0.53125,0.4375,0.46875,0.53125,0.45625000000000004,0.36875,0.42500000000000004,0.51875,0.53125,0.42500000000000004,0.46249999999999997,0.48750000000000004,0.46249999999999997,0.4,0.425,0.58125,0.55,0.525,0.58125,0.42500000000000004,0.45625,0.51875,0.3125,0.46249999999999997,0.49375,0.39999999999999997,19.043750000000006,21.0
Baoding,0.35,0.5875,0.50625,0.41874999999999996,0.0,0.50625,0.40625,0.5,0.38125,0.53125,0.5249999999999999,0.5249999999999999,0.5375,0.50625,0.50625,0.4125,0.46875,0.4375,0.5,0.34375,0.375,0.5562499999999999,0.46875,0.4375,0.46875,0.46875,0.4125,0.375,0.3375,0.44375,0.5249999999999999,0.5,0.5562499999999999,0.4,0.40625,0.4625,0.35,0.53125,0.4375,0.39999999999999997,17.8625,32.5
Taiyuan,0.23124999999999996,0.49375,0.46875,0.41249999999999987,0.49375,0.0,0.375,0.46875,0.40625,0.5,0.4875,0.48749999999999993,0.4125,0.44375,0.475,0.4125,0.35,0.4125,0.49374999999999997,0.375,0.30624999999999997,0.4375,0.44375,0.46249999999999997,0.4125,0.4375,0.4,0.375,0.3375,0.46249999999999997,0.49374999999999997,0.375,0.46249999999999997,0.39375,0.46249999999999997,0.49375,0.35,0.46875,0.43125,0.375,16.58125,39.0
Hohhot,0.41874999999999996,0.5625,0.5375000000000001,0.56875,0.59375,0.625,0.0,0.5625,0.475,0.5625,0.5625,0.5249999999999999,0.6,0.6,0.6312500000000001,0.475,0.50625,0.44375,0.46875,0.475,0.40625,0.5,0.50625,0.5,0.59375,0.5,0.50625,0.44375,0.34375,0.5625,0.5874999999999999,0.53125,0.68125,0.4625,0.5874999999999999,0.5875,0.5375000000000001,0.5625,0.59375,0.40625,20.593749999999993,9.0
Shenyang,0.26249999999999996,0.5,0.4750000000000001,0.41874999999999996,0.5,0.53125,0.4375,0.0,0.5,0.525,0.525,0.4625,0.53125,0.475,0.5375,0.475,0.38125,0.475,0.5,0.35,0.34375,0.5,0.44375,0.5,0.5,0.5,0.4375,0.31875,0.34375,0.5,0.55,0.4125,0.5,0.39999999999999997,0.40625,0.5249999999999999,0.4125,0.5,0.44375,0.4375,17.837500000000002,34.0
Dalian,0.41874999999999996,0.5625,0.61875,0.5375,0.61875,0.59375,0.525,0.5,0.0,0.61875,0.51875,0.55625,0.59375,0.5375,0.56875,0.50625,0.5375,0.475,0.53125,0.46875,0.5,0.5,0.475,0.49374999999999997,0.53125,0.5,0.5249999999999999,0.475,0.34375,0.5874999999999999,0.51875,0.56875,0.625,0.49375,0.49374999999999997,0.5874999999999999,0.5625,0.5,0.46875,0.49375,20.531249999999996,11.0
Changchun,0.32499999999999996,0.525,0.475,0.44375,0.46875,0.5,0.4375,0.475,0.38125,0.0,0.49374999999999997,0.46249999999999997,0.475,0.475,0.5375,0.44375,0.475,0.475,0.5,0.46875,0.3125,0.5249999999999999,0.475,0.46875,0.46875,0.46875,0.44375,0.40625,0.36875,0.46875,0.49374999999999997,0.46875,0.5874999999999999,0.40625,0.4375,0.46875,0.44375,0.46875,0.4375,0.40625,17.8625,32.5
