City,without_thres,thres_ref_phi23,thres_ref_phi12,thres_ref_phi13
Beijing,2,1,1,5
Tianjin,29,10,35,39
Shijiazhuang,33,13,30,38
Qinhuangdao,27,8,21,31
Baoding,36,19,32.5,36
Taiyuan,40,28,39,40
Hohhot,13,5,9,24
Shenyang,31,17,34,37
Dalian,9,4,11,25
Changchun,28,23,32.5,35
Harbin,18,14,27,30
Shanghai,32,15,26,29
Nanjing,34,25,31,32
Suzhou,25,21,28,28
Zhenjiang,35,34,37,34
Hangzhou,12,9,12,19
Ningbo,15,16,17,23
Wenzhou,17,11,14,20
Hefei,21,20,23,26
Fuzhou,4,6,6,11
Xiamen,3,3,3,6
Nanchang,19,26,20,22
Jinan,14,24,19,21
Qingdao,6,22,16,14
Zhengzhou,22,32,22,15
Wuhan,26,33,24,16
Changsha,20,29,15,13
Guangzhou,11,7,4,4
Shenzhen,1,2,2,1
Nanning,30,36,29,18
Guilin,39,39,38,27
Haikou,7,18,10,10
Chongqing,38,40,40,33
Chengdu,8,12,5,3
Guiyang,10,31,13,8
Zunyi,37,38,36,17
Kunming,5,30,8,7
Xiâ€™an,24,37,25,12
Lanzhou,23,35,18,9
Urumqi,16,27,7,2
